Scenario,Tasks,Agent_Cost,Status,Time_sec
Tiny_Graph,5,15.2515,Success,17.04
Small_Graph,7,20.172,Success,22.88
Medium_Graph,10,33.6115,Success,22.0
Large_Graph,12,43.0918,Success,16.77
Sparse_Dependencies,8,24.3698,Success,18.72
Dense_Dependencies,8,29.291,Success,18.85
Pipeline_Structure,8,15.9715,Success,16.09
Parallel_Structure,8,20.1703,Success,19.25
Compute_Heavy,8,25.6903,Success,18.64
Data_Heavy,8,29.652,Success,22.7
High_Bandwidth,8,27.732,Success,18.82
Low_Bandwidth,8,29.1718,Success,16.61
Powerful_Cloud,8,29.2915,Success,20.93
Weak_Cloud,8,23.7713,Success,16.95
No_Remote_Nodes,6,127.056,Success,13.39
All_Cloud_Nodes,6,20.7706,Success,15.22
